Frame,Time_s,Theta_continuous_deg,Angular_Displacement_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,Rotational_KE_J
190.0000,6.3333,812.7655,812.7655,111.1194,1.9394,0.0032,-0.7574,15.6790,15.6973,6.7143
191.0000,6.3667,816.4695,816.4695,111.1194,1.9394,-0.0080,-1.6404,14.4664,14.5591,6.7143
192.0000,6.4000,820.1735,820.1735,111.1194,1.9394,-0.0291,-2.4690,13.7586,13.9783,6.7143
193.0000,6.4333,823.8774,823.8774,111.1194,1.9394,0.0181,-3.3602,13.6010,14.0099,6.7143
194.0000,6.4667,827.5814,827.5814,110.9914,1.9372,0.1430,-4.4252,13.9656,14.6499,6.6989
195.0000,6.5000,831.2854,831.2854,111.2475,1.9416,0.1942,-5.7029,14.6383,15.7100,6.7298
196.0000,6.5333,834.9894,834.9894,111.9685,1.9542,-0.0172,-7.4650,16.0164,17.6707,6.8173
197.0000,6.5667,838.6934,838.6934,111.9236,1.9534,-0.5757,-9.8423,17.9823,20.4996,6.8118
198.0000,6.6000,842.3973,842.3973,110.2405,1.9241,-1.2340,-12.7499,20.0927,23.7966,6.6085
199.0000,6.6333,846.1013,846.1013,107.1831,1.8707,-1.3657,-15.8536,21.7397,26.9063,6.2470
200.0000,6.6667,849.8053,849.8053,104.2530,1.8196,-0.4475,-18.6057,22.3271,29.0632,5.9102
201.0000,6.7000,853.5093,853.5093,104.3892,1.8219,1.5374,-20.9263,22.0445,30.3952,5.9256
202.0000,6.7333,857.2133,857.2133,109.8514,1.9173,4.2118,-22.7195,21.0287,30.9577,6.5619
203.0000,6.7667,859.8493,859.8493,120.7330,2.1072,6.9332,-23.4605,19.7910,30.6933,7.9264
204.0000,6.8000,863.8203,863.8203,135.9864,2.3734,8.7927,-24.5001,17.9181,30.3531,10.0557
205.0000,6.8333,868.8295,868.8295,154.2778,2.6927,8.8991,-26.5642,16.0692,31.0463,12.9428
206.0000,6.8667,874.5803,874.5803,171.5825,2.9947,6.7554,-28.0670,13.3390,31.0755,16.0091
207.0000,6.9000,880.7761,880.7761,181.9324,3.1753,2.5457,-28.8876,10.0733,30.5935,17.9987
208.0000,6.9333,887.1201,887.1201,181.9324,3.1753,-2.5457,-28.8259,6.5913,29.5699,17.9987
209.0000,6.9667,893.3159,893.3159,171.5825,2.9947,-6.7554,-27.6515,3.2405,27.8407,16.0091
210.0000,7.0000,899.0667,899.0667,154.2778,2.6927,-8.8991,-26.5387,0.4323,26.5422,12.9428
211.0000,7.0333,904.0759,904.0759,135.9864,2.3734,-8.7927,-25.7782,-1.8369,25.8435,10.0557
212.0000,7.0667,908.0469,908.0469,120.7330,2.1072,-6.9332,-25.0330,-3.5390,25.2819,7.9264
213.0000,7.1000,910.6829,910.6829,109.8514,1.9173,-4.2118,-24.7612,-4.6710,25.1980,6.5619
214.0000,7.1333,914.3869,914.3869,104.3892,1.8219,-1.5374,-24.6665,-6.3273,25.4651,5.9256
215.0000,7.1667,918.0909,918.0909,104.2530,1.8196,0.4475,-25.0135,-8.1713,26.3144,5.9102
216.0000,7.2000,921.7949,921.7949,107.1831,1.8707,1.3657,-25.5128,-10.2018,27.4769,6.2470
217.0000,7.2333,925.4989,925.4989,110.2405,1.9241,1.2340,-26.1050,-12.4508,28.9222,6.6085
218.0000,7.2667,929.2028,929.2028,111.9236,1.9534,0.5757,-26.7735,-14.9649,30.6720,6.8118
219.0000,7.3000,932.9068,932.9068,111.9685,1.9542,0.0172,-27.3947,-17.7271,32.6301,6.8173
220.0000,7.3333,936.6108,936.6108,111.2475,1.9416,-0.1942,-26.9678,-20.0359,33.5961,6.7298
221.0000,7.3667,940.3148,940.3148,110.9914,1.9372,-0.1430,-26.1861,-22.2191,34.3424,6.6989
222.0000,7.4000,944.0188,944.0188,111.1194,1.9394,-0.0181,-24.9556,-24.1152,34.7034,6.7143
223.0000,7.4333,947.7227,947.7227,111.1194,1.9394,0.0291,-23.0537,-25.3559,34.2694,6.7143
224.0000,7.4667,951.4267,951.4267,111.1194,1.9394,0.0080,-20.8788,-26.1795,33.4857,6.7143
225.0000,7.5000,955.1307,955.1307,111.1194,1.9394,-0.0032,-18.3279,-26.3025,32.0583,6.7143
226.0000,7.5333,958.8347,958.8347,111.1194,1.9394,-0.0000,-15.4111,-25.4816,29.7795,6.7143
227.0000,7.5667,962.5387,962.5387,111.1194,1.9394,-0.0000,-12.5769,-24.1999,27.2729,6.7143
228.0000,7.6000,966.2427,966.2427,111.1194,1.9394,-0.0000,-9.9182,-22.5330,24.6192,6.7143
229.0000,7.6333,969.9466,969.9466,111.1194,1.9394,0.0000,-7.4534,-20.4190,21.7368,6.7143
230.0000,7.6667,973.6506,973.6506,111.1194,1.9394,0.0000,-5.3116,-18.1063,18.8693,6.7143
231.0000,7.7000,977.3546,977.3546,111.1194,1.9394,0.0000,-3.5418,-15.7861,16.1786,6.7143
232.0000,7.7333,981.0586,981.0586,111.1194,1.9394,0.0000,-2.1539,-13.6899,13.8583,6.7143
233.0000,7.7667,984.7626,984.7626,111.1194,1.9394,-0.0000,-1.1604,-12.6593,12.7124,6.7143
