Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
199,6.6333,3180.7820,129.4539,-5.0841,-30.8815,-55.7984,63.7741,32.2761,82.3828
200,6.6667,3182.9360,129.4539,51.1562,-30.8510,-51.5857,60.1072,20.6128,52.6129
201,6.7000,3183.4781,175.3799,107.0100,-30.8341,-45.1860,54.7039,65.7473,308.0080
202,6.7333,3184.0440,495.3615,135.1889,-30.3811,-43.8525,53.3484,107.6064,4021.6787
203,6.7667,3200.8129,861.1926,116.9071,-28.1410,-42.2512,50.7650,70.0211,7909.5935
204,6.8000,3238.8566,1128.0816,53.7849,-25.4673,-36.9922,44.9112,23.0399,4465.6689
205,6.8333,3289.8013,1155.5022,-35.0312,-23.3234,-29.0919,37.2870,8.9697,1824.0861
206,6.8667,3335.8439,908.2104,-105.7635,-22.2988,-13.6356,26.1374,6.3818,801.7575
207,6.9000,3360.8697,561.6276,-132.8149,-21.3750,-1.5488,21.4310,3.8334,184.1620
208,6.9333,3360.5405,263.9113,-116.7516,-20.2231,-1.9626,20.3181,3.2331,34.2975
209,6.9667,3352.6518,129.4539,-72.6147,-18.6409,-16.4587,24.8670,3.9274,10.0245
210,7.0000,3349.8647,129.4539,-26.6302,-17.2235,-31.6244,36.0104,8.0371,20.5143
211,7.0333,3361.2926,129.4539,3.1715,-16.2148,-45.1076,47.9335,14.1704,36.1692
212,7.0667,3339.5719,129.4539,15.0248,-15.7276,-45.9718,48.5877,17.4522,44.5458
213,7.1000,3297.5619,129.4539,18.5719,-15.4828,-31.1504,34.7860,10.1092,25.8031
214,7.1333,3247.8817,129.4539,35.5686,-14.7653,-16.6681,22.2674,7.7033,19.6623
215,7.1667,3205.5253,129.4539,38.9571,-13.0061,-18.6507,22.7378,9.4735,24.1804
216,7.2000,3171.5950,129.4539,29.1098,-10.3726,-33.5074,35.0762,15.6550,39.9585
217,7.2333,3222.9820,289.7725,9.9212,-7.8898,-51.9500,52.5457,24.7779,316.8858
218,7.2667,3235.8707,331.2433,-13.1678,-6.4248,-43.1123,43.5884,29.7265,496.7791
219,7.3000,3243.0784,129.4539,-33.6934,-5.4827,-11.7631,12.9781,1.6313,4.1637
220,7.3333,3239.9445,129.4539,-47.4008,-3.2266,11.6049,12.0451,3.3303,8.5004
221,7.3667,3219.3122,129.4539,-35.0964,0.4636,-3.0715,3.1063,0.6561,1.6748
222,7.4000,3184.9727,129.4539,8.3752,3.5155,-1.0646,3.6731,5.8337,14.8901
223,7.4333,3201.4311,129.4539,41.3313,3.2310,7.7659,8.4113,6.3740,16.2692
224,7.4667,3191.5691,220.2344,58.6150,-0.3956,0.3845,0.5517,0.8437,6.2332
225,7.5000,3199.9311,476.0377,44.4160,-3.9724,-23.6522,23.9835,6.7371,232.5295
226,7.5333,3230.1325,543.1467,12.8983,-4.7570,-21.0360,21.5672,3.3018,148.3559
227,7.5667,3252.2824,525.0006,-25.6066,-3.2650,-2.8408,4.3279,0.3572,14.9969
228,7.6000,3257.5704,375.7559,-60.3526,-2.3544,11.5004,11.7389,1.6755,36.0318
229,7.6333,3272.1143,129.4539,-70.8430,-2.7443,19.7779,19.9674,3.8176,9.7442
230,7.6667,3267.0602,129.4539,-58.8144,-2.1685,30.0198,30.0980,6.2969,16.0726
231,7.7000,3253.2568,129.4539,-38.9660,-0.5305,8.7228,8.7389,6.0047,15.3266
232,7.7333,3213.8347,129.4539,-19.2081,0.4286,-7.9777,7.9892,14.1207,36.0423
233,7.7667,3182.3058,129.4539,-12.3331,0.6901,-9.8131,9.8373,0.7849,2.0035
234,7.8000,3163.7606,129.4539,-5.2526,1.3557,7.8659,7.9818,0.5179,1.3220
235,7.8333,3183.9874,129.4539,2.2425,1.9893,0.3218,2.0152,1.2299,3.1391
236,7.8667,3222.7448,129.4539,8.1416,1.2724,-8.7809,8.8726,3.4861,8.8981
237,7.9000,3196.8488,129.4539,39.9483,0.1509,-20.3846,20.3852,4.1083,10.4863
238,7.9333,3148.6316,129.4539,67.2067,-0.4351,-7.5759,7.5884,5.6961,14.5388
239,7.9667,3138.7709,129.4539,55.3951,-1.0864,-6.7304,6.8175,2.7969,7.1390
240,8.0000,3149.5139,375.2172,25.5047,-1.7332,-16.8951,16.9837,8.2686,177.3058
241,8.0333,3180.1079,635.1371,-7.5461,-0.7188,-42.7503,42.7563,13.7667,845.8406
242,8.0667,3224.1613,316.3475,-30.0081,1.5631,-44.7065,44.7338,22.4022,341.4634
243,8.1000,3222.4157,129.4539,-30.7072,3.8485,-41.4841,41.6623,21.8780,55.8422
244,8.1333,3191.6495,129.4539,-3.3602,5.2996,-40.0829,40.4318,12.2740,31.3287
245,8.1667,3144.3809,129.4539,91.1111,5.7025,-30.7765,31.3003,23.5634,60.1440
246,8.2000,3075.3236,129.4539,130.7051,5.5516,-6.3499,8.4345,0.5658,1.4443
247,8.2333,3052.5686,129.4539,102.2139,5.4788,17.8241,18.6471,3.5787,9.1345
248,8.2667,3079.4240,712.3528,41.9000,5.1075,6.6450,8.3811,0.4892,37.8079
249,8.3000,3149.3793,687.3131,-33.0669,3.2280,-27.8011,27.9879,5.3558,385.3554
250,8.3333,3176.0277,129.4539,-102.4930,2.0110,-22.9127,23.0008,13.6962,34.9587
