Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
257,8.5667,3678.8659,60.1466,-101.3679,10.1868,-39.7317,41.0168,10.0909,5.5600
258,8.6000,3646.1964,60.1466,-59.6391,10.6021,-43.3829,44.6596,12.0033,6.6137
259,8.6333,3579.1897,60.1466,-5.7559,10.2930,-34.1052,35.6246,11.2368,6.1914
260,8.6667,3496.2418,60.1466,20.4664,8.1629,-29.7326,30.8328,6.7627,3.7262
261,8.7000,3408.7585,60.1466,22.0773,5.7657,-31.8359,32.3538,8.5125,4.6903
262,8.7333,3348.5224,60.1466,33.7603,4.8639,-40.0691,40.3633,10.9349,6.0250
263,8.7667,3336.0201,60.1466,34.5232,5.1858,-39.9238,40.2591,11.1747,6.1572
264,8.8000,3355.5870,60.1466,36.2179,5.0871,-41.6183,41.9281,11.2715,6.2105
265,8.8333,3361.4052,239.7307,54.7126,5.1417,-38.1482,38.4931,11.1669,97.7477
266,8.8667,3363.6668,274.1938,86.1901,4.9835,-32.0596,32.4446,11.9970,137.3770
267,8.9000,3359.8839,366.6042,112.6713,4.4958,-27.8837,28.2438,11.6982,239.4636
268,8.9333,3375.7938,663.8348,114.0861,4.7668,-24.7401,25.1951,10.4003,698.0532
269,8.9667,3400.7919,992.2720,80.7049,5.3240,-20.4667,21.1479,5.3449,801.5477
270,9.0000,3446.1965,1156.9942,17.0581,5.2852,-18.0861,18.8425,3.1157,635.2534
271,9.0333,3494.9017,1085.5491,-66.9481,4.7696,-19.9745,20.5361,2.7136,487.0541
272,9.0667,3531.0564,803.3637,-130.3264,4.4028,-22.0819,22.5166,5.0433,495.7515
273,9.1000,3543.7656,456.1040,-140.8367,3.9693,-23.8601,24.1880,7.5262,238.4684
