Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
108,3.5702,1999.5170,452.3123,7.8943,1.3364,-31.8504,-11.2895,33.7920,0.6500,20.2542
109,3.6033,2004.8020,454.8436,7.9385,1.3364,-30.0200,-13.8724,33.0703,0.6500,20.4815
110,3.6364,2010.1881,457.3748,7.9827,1.3364,-27.0811,-15.7541,31.3301,0.6500,20.7101
111,3.6694,2014.1384,459.9061,8.0269,1.3364,-23.5131,-15.9426,28.4083,0.6500,20.9400
112,3.7025,2013.5919,462.4374,8.0711,1.3364,-20.5006,-13.6164,24.6106,0.6500,21.1711
113,3.7355,2018.2605,464.9687,8.1152,1.3364,-16.0775,-12.6793,20.4756,0.6500,21.4035
114,3.7686,2033.7405,467.4999,8.1594,1.3364,-9.7213,-13.2535,16.4365,0.6500,21.6372
115,3.8017,2057.9953,470.0312,8.2036,1.3364,-2.7452,-12.9101,13.1987,0.6500,21.8721
116,3.8347,2082.1977,472.5625,8.2478,1.3364,2.3892,-11.0526,11.3079,0.6500,22.1084
117,3.8678,2111.3309,475.0937,8.2919,1.3364,6.7364,-7.6595,10.2004,0.6500,22.3458
118,3.9008,2145.3950,477.6250,8.3361,1.3364,9.5570,-2.4903,9.8762,0.6500,22.5846
119,3.9339,2184.3898,480.1563,8.3803,1.3364,9.4129,4.2679,10.3353,0.6500,22.8246
120,3.9669,2228.3155,482.6875,8.4245,1.3364,4.2779,10.7584,11.5778,0.6500,23.0659
