Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,Rotational_KE_J
244.0000,8.1333,1779.4896,330.1358,28.8689,-12.9540,-12.9479,18.3154,58.7824
245.0000,8.1667,1793.4745,62.7815,-49.3882,-14.3765,13.7522,19.8949,2.1258
246.0000,8.2000,1795.3975,0.0000,-41.6454,-12.8161,11.5139,17.2285,0.0000
247.0000,8.2333,1734.7865,0.0000,12.2544,-10.5743,9.3069,14.0867,0.0000
248.0000,8.2667,1710.7896,0.0000,18.8778,-9.7880,3.2595,10.3165,0.0000
249.0000,8.3000,1735.1401,116.7716,0.0000,-9.6740,0.6979,9.6991,7.3542
250.0000,8.3333,1737.2324,0.0000,-25.1396,-9.2213,-3.5383,9.8769,0.0000
251.0000,8.3667,1669.6450,0.0000,8.6336,-10.1965,15.9302,18.9140,0.0000
252.0000,8.4000,1620.2943,0.0000,100.0153,-12.1709,1.8958,12.3177,0.0000
253.0000,8.4333,1629.2574,341.8295,77.1684,-14.8217,-23.5735,27.8459,63.0204
254.0000,8.4667,1650.2742,515.4893,-51.0519,-18.3084,-29.4769,34.7000,143.3181
255.0000,8.5000,1664.5848,0.5727,-107.7996,-18.9034,-24.4487,30.9043,0.0002
256.0000,8.5333,1650.9902,0.0000,-39.8226,-18.2348,-25.4058,31.2724,0.0000
257.0000,8.5667,1627.0079,0.0000,11.8067,-18.6903,-20.7128,27.8989,0.0000
258.0000,8.6000,1615.6236,0.0000,12.0538,-21.1033,-5.5529,21.8216,0.0000
259.0000,8.6333,1619.6929,50.6828,53.4784,-21.9164,-5.6020,22.6210,1.3854
260.0000,8.6667,1620.9019,189.7825,144.9924,-22.0273,-11.3627,24.7853,19.4256
261.0000,8.7000,1629.3162,560.4283,236.5679,-21.3257,-27.1155,34.4969,169.3955
262.0000,8.7333,1655.9925,1123.7509,207.8313,-20.5781,-37.8893,43.1168,681.0861
263.0000,8.7667,1705.0308,1431.9568,22.0959,-20.0339,-41.0208,45.6515,1105.9149
264.0000,8.8000,1755.0240,1209.2869,-180.3359,-20.4891,-37.2702,42.5308,788.7158
265.0000,8.8333,1786.9166,677.2224,-244.3193,-21.5187,-24.9695,32.9625,247.3572
266.0000,8.8667,1797.7692,242.5294,-171.6871,-22.2244,-3.6660,22.5247,31.7242
267.0000,8.9000,1801.7719,40.3576,-69.9333,-22.1936,10.8334,24.6965,0.8784
268.0000,8.9333,1801.1963,0.0000,-17.2002,-21.7799,4.8721,22.3182,0.0000
269.0000,8.9667,1800.1214,0.0000,-2.4789,-21.5509,-9.5194,23.5597,0.0000
270.0000,9.0000,1799.3013,0.0000,100.7208,-21.5599,-18.3352,28.3021,0.0000
271.0000,9.0333,1796.5631,204.5523,236.7550,-22.2541,-19.9870,29.9119,22.5668
272.0000,9.0667,1794.6744,1009.7772,112.2202,-24.3343,-5.9416,25.0492,549.9371
273.0000,9.1000,1868.3670,954.6888,-186.8146,-26.1996,13.3291,29.3953,491.5702
274.0000,9.1333,1884.2364,0.0000,-204.2004,-25.4271,22.6477,34.0507,0.0000
275.0000,9.1667,1833.1718,0.0000,200.9289,-24.3786,16.9218,29.6760,0.0000
276.0000,9.2000,1800.2804,775.0334,440.4423,-26.9363,13.9032,30.3128,323.9684
277.0000,9.2333,1892.6950,2000.8451,121.0491,-29.7646,12.8425,32.4170,2159.1797
278.0000,9.2667,1962.2693,1407.2217,-326.1544,-29.8847,7.2313,30.7471,1068.0386
279.0000,9.3000,1974.5163,294.9425,-367.1830,-28.9631,1.2741,28.9911,46.9177
280.0000,9.3333,1973.3275,0.0000,-118.8917,-29.1572,-0.5047,29.1616,0.0000
281.0000,9.3667,1976.3296,61.7271,-3.2510,-29.3756,-3.0797,29.5366,2.0550
282.0000,9.4000,1979.1403,0.0000,51.8743,-29.6581,-12.4537,32.1667,0.0000
283.0000,9.4333,1981.0190,115.4045,232.9406,-30.0688,-26.3375,39.9724,7.1830
284.0000,9.4667,1979.0224,833.9449,363.7154,-29.7257,-37.0895,47.5315,375.0909
