Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
207,6.9000,3051.9989,200.8703,-74.7210,1.1329,18.1610,18.1963,7.0902,43.5729
208,6.9333,3056.2334,113.1370,-48.2400,0.3701,16.1982,16.2025,7.1757,13.9894
209,6.9667,3058.1197,61.9653,-29.1316,-3.1301,13.8422,14.1916,7.4434,4.3531
210,7.0000,3059.5115,61.9653,-16.4887,-5.5529,7.1895,9.0842,7.2859,4.2610
211,7.0333,3060.6297,61.9653,4.6040,-6.2485,-1.3341,6.3893,4.0754,2.3834
212,7.0667,3061.0250,61.9653,44.2822,-5.8448,-7.3098,9.3592,3.1165,1.8226
213,7.1000,3061.8112,72.6659,94.2556,-4.9143,-7.9995,9.3884,3.2637,2.6248
214,7.1333,3066.0426,331.9684,133.1468,-4.5493,-14.0181,14.7379,3.5876,60.2167
215,7.1667,3069.0382,691.6371,139.5538,-4.4580,-26.3664,26.7406,6.4961,473.2983
216,7.2000,3099.3056,1036.0049,99.7504,-4.4827,-37.8130,38.0778,11.0967,1814.0243
217,7.2333,3147.4526,1182.8224,14.0007,-3.7531,-40.2625,40.4370,12.2984,2620.6780
218,7.2667,3196.9924,1089.2414,-80.9461,-4.2534,-43.5836,43.7907,12.2121,2206.8026
219,7.3000,3234.1938,816.8948,-136.1990,-4.6654,-45.9332,46.1695,17.9390,1823.2828
220,7.3333,3251.3043,438.6623,-129.3121,-3.9831,-42.3893,42.5760,16.7131,489.8265
221,7.3667,3244.3761,158.4820,-66.0639,-3.1160,-29.7800,29.9426,18.9054,72.3220
222,7.4000,3252.2684,125.0358,25.5572,-3.8438,-16.2917,16.7390,9.3704,22.3127
223,7.4333,3260.2823,326.2175,109.1240,-4.6791,-7.9601,9.2335,4.3302,70.1860
224,7.4667,3267.8610,637.5216,141.4287,-4.3145,-6.1214,7.4891,4.3324,268.1889
225,7.5000,3297.0785,948.1902,85.9338,-4.4030,-12.3327,13.0951,5.2931,724.8077
226,7.5333,3335.9283,1131.4411,-4.2429,-4.8729,-10.9442,11.9800,6.6101,1288.8388
227,7.5667,3374.7395,1050.7769,-92.0953,-5.2146,0.4546,5.2344,4.7347,796.2290
228,7.6000,3408.4818,631.7677,-152.0511,-5.4468,13.7649,14.8034,5.3690,326.3853
229,7.6333,3438.3260,61.9653,-171.4804,-5.2787,20.8851,21.5419,6.7762,3.9628
230,7.6667,3414.4285,61.9653,-150.3970,-6.0150,22.7078,23.4909,9.5449,5.5820
231,7.7000,3373.2675,61.9653,-105.3632,-8.2986,21.4917,23.0382,5.7789,3.3796
232,7.7333,3313.9274,61.9653,-67.4159,-12.1943,14.4658,18.9199,2.8369,1.6591
233,7.7667,3255.4622,61.9653,-61.0634,-14.9242,12.5986,19.5309,3.0828,1.8029
234,7.8000,3212.5596,61.9653,-50.9774,-16.7804,9.3551,19.2120,4.7083,2.7535
235,7.8333,3206.4396,61.9653,-43.2374,-16.2194,5.9200,17.2660,4.0415,2.3636
236,7.8667,3178.0821,61.9653,-22.5508,-14.0595,-0.1439,14.0603,4.0796,2.3858
237,7.9000,3171.0951,61.9653,10.1463,-11.9540,-6.8187,13.7620,3.7576,2.1975
238,7.9333,3136.6774,61.9653,47.6770,-11.8863,-22.0693,25.0667,5.8830,3.4405
239,7.9667,3138.7593,180.4801,95.8052,-11.7794,-39.9868,41.6857,12.7325,63.1679
240,8.0000,3162.7723,503.8716,145.9874,-12.1213,-41.7053,43.4311,16.0183,619.4135
241,8.0333,3197.2128,737.2145,193.3732,-11.9948,-29.7691,32.0948,4.6576,385.5480
242,8.0667,3210.0967,1139.4564,218.6128,-11.7315,-23.8327,26.5636,3.0084,594.9078
