Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
249,8.3000,3520.5174,87.2745,-37.2346,-9.8524,-13.4547,16.6763,2.6883,3.1188
250,8.3333,3519.5273,87.2745,-13.0281,-10.8854,-27.2245,29.3201,5.4800,6.3574
251,8.3667,3510.9810,87.2745,45.5961,-10.9494,-34.4007,36.1012,9.2093,10.6839
252,8.4000,3488.4023,87.2745,108.9110,-9.0094,-35.9922,37.1027,11.8522,13.7499
253,8.4333,3479.5230,354.7606,143.7956,-7.3907,-35.5859,36.3453,14.8067,283.8277
254,8.4667,3508.3669,798.6894,143.6594,-5.7393,-28.9955,29.5580,9.6283,935.4704
255,8.5000,3552.8589,1139.6045,111.3065,-4.8691,-14.2170,15.0277,1.6484,326.0508
256,8.5333,3604.3895,1265.0339,55.4862,-4.1505,-0.8962,4.2462,1.8029,439.4296
257,8.5667,3640.8535,1204.1862,-7.9891,-4.0187,2.7380,4.8628,1.6950,374.3474
258,8.6000,3673.5238,1106.1899,-47.8087,-3.8631,-4.1044,5.6364,1.7613,328.2686
259,8.6333,3699.3123,1002.2450,-65.4248,-2.9413,-13.3604,13.6804,2.8647,438.2821
260,8.6667,3737.0367,906.3449,-75.5750,-2.2114,-20.6404,20.7586,5.1601,645.6049
261,8.7000,3775.4043,799.1405,-83.2930,-1.5864,-20.9311,20.9911,4.2311,411.5564
262,8.7333,3800.7301,613.8746,-85.6327,-1.0370,-22.3724,22.3964,4.2557,244.2643
263,8.7667,3807.4063,392.0273,-83.7466,0.0020,-22.6745,22.6745,6.7168,157.2233
264,8.8000,3820.8343,226.9524,-74.0045,-0.1011,-25.5716,25.5718,4.4227,34.6965
265,8.8333,3823.1338,171.3493,-45.4690,-0.6897,-29.5207,29.5288,8.0440,35.9717
266,8.8667,3827.3139,123.2190,0.9631,-1.1582,-34.0045,34.0242,9.7565,22.5617
267,8.9000,3837.0737,91.0986,54.6803,-0.7121,-32.8696,32.8773,8.0631,10.1918
268,8.9333,3845.8732,215.7386,101.1859,-1.6127,-28.2784,28.3243,5.8877,41.7374
269,8.9667,3847.2509,483.5511,124.8309,-2.8226,-15.3833,15.6401,2.6560,94.5885
270,9.0000,3850.9390,796.8938,109.0836,-3.0013,-2.2499,3.7510,1.5682,151.6834
