Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
196,6.5333,3338.1424,470.7717,-124.8922,1.7886,-22.9714,23.0409,5.2913,178.6111
197,6.5667,3339.1638,102.2141,-107.2648,1.8472,-23.2604,23.3336,5.5137,8.7738
198,6.6000,3318.6828,61.2745,-47.5376,2.1416,-27.0506,27.1352,6.9758,3.9891
199,6.6333,3316.3247,61.2745,12.9575,2.6539,-29.9170,30.0345,8.6973,4.9736
200,6.6667,3321.4062,128.9581,41.4448,2.9073,-29.6846,29.8266,7.0275,17.8002
201,6.7000,3334.8044,306.9431,31.7797,2.7664,-27.9952,28.1315,9.9288,142.4740
202,6.7333,3350.2311,363.0180,13.9566,2.6513,-23.3227,23.4729,9.0124,180.8932
203,6.7667,3362.6812,299.2026,12.5255,2.6911,-20.7614,20.9350,6.5664,89.5335
204,6.8000,3364.6216,251.5359,27.4950,2.2645,-17.0096,17.1596,4.7357,45.6362
205,6.8333,3377.0661,312.6723,58.9808,1.8120,-10.2916,10.4499,9.7070,144.5407
206,6.8667,3385.3233,495.5061,88.4653,1.7371,-0.6851,1.8674,6.6692,249.3994
207,6.9000,3399.7890,749.6778,86.9029,2.1636,2.7489,3.4982,2.3435,200.6023
208,6.9333,3431.7344,945.9463,47.1349,2.4781,1.7181,3.0154,2.6296,358.3843
209,6.9667,3471.6297,980.8198,-17.4137,2.7096,1.1171,2.9308,2.4215,354.8051
210,7.0000,3506.5941,855.9299,-79.4138,3.1289,-0.0742,3.1297,2.3364,260.6995
211,7.0333,3536.4315,604.8743,-113.1353,3.5192,-0.3492,3.5365,2.5924,144.4625
212,7.0667,3546.2589,343.8990,-114.4010,3.5401,-2.0176,4.0746,2.7186,48.9694
213,7.1000,3544.8202,121.8370,-83.9208,2.3996,-15.3645,15.5507,6.5450,14.7976
214,7.1333,3548.5721,61.2745,-25.3437,2.4372,-26.0054,26.1193,24.5158,14.0194
215,7.1667,3552.4494,61.2745,45.1386,3.4932,-26.3129,26.5437,8.1653,4.6694
216,7.2000,3554.5308,138.7258,104.9225,4.6833,-18.1775,18.7711,6.9227,20.2914
217,7.2333,3548.3213,417.3695,128.7037,4.9137,-18.2518,18.9016,6.6946,177.6205
218,7.2667,3563.1904,742.6579,102.8322,4.1690,-20.8499,21.2626,6.9543,584.1882
219,7.3000,3600.2313,985.9555,32.9978,2.5054,-26.1444,26.2642,8.6685,1283.4681
220,7.3333,3644.2624,989.3929,-47.5421,0.9762,-27.4985,27.5158,7.8746,1174.0579
221,7.3667,3682.2650,732.6076,-109.5336,0.8479,-24.8043,24.8188,5.7069,466.5208
222,7.4000,3704.4787,331.5844,-131.2944,1.0530,-23.4185,23.4422,5.3434,89.4810
223,7.4333,3695.3992,61.2745,-105.2869,1.2042,-25.0872,25.1161,6.9283,3.9619
224,7.4667,3681.6028,61.2745,-44.8435,1.4338,-27.8218,27.8588,7.7126,4.4105
225,7.5000,3679.0798,61.2745,13.8040,1.8692,-29.8515,29.9100,9.2018,5.2621
226,7.5333,3681.4000,105.1600,47.9725,1.9686,-29.6868,29.7520,6.7965,11.4476
227,7.5667,3692.8809,281.9633,59.8187,2.0101,-27.5904,27.6636,7.0681,85.5874
228,7.6000,3709.3920,388.3762,70.1340,2.1028,-21.6262,21.7282,8.4199,193.4352
