Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
207,6.9000,2907.3461,514.2045,-22.1343,2.3049,-9.4809,9.7570,2.6452,106.5271
208,6.9333,2922.4908,458.3548,-37.4679,2.4022,-12.1456,12.3808,4.6589,149.0771
209,6.9667,2934.6441,382.9782,-40.5660,2.4773,-12.9903,13.2244,3.7120,82.9248
210,7.0000,2948.6399,269.4224,-26.1896,2.5245,-8.8343,9.1879,2.4772,27.3879
211,7.0333,2951.2113,223.9635,6.4642,2.4319,0.6305,2.5123,1.7974,13.7316
212,7.0667,2962.7752,273.9553,45.9585,1.7549,8.7335,8.9081,3.2320,36.9454
213,7.1000,2971.2157,395.7842,79.2659,2.3601,11.5698,11.8080,2.6386,62.9539
214,7.1333,2981.8875,608.9367,90.7451,3.4731,11.8435,12.3422,7.1390,403.1868
215,7.1667,3007.8740,813.8294,71.1486,3.9836,16.6326,17.1030,4.4846,452.3954
216,7.2000,3038.6486,924.1918,27.3403,3.1714,20.8933,21.1326,3.1777,413.3981
217,7.2333,3075.4931,935.0639,-27.3288,2.6481,22.5172,22.6724,4.3420,578.2235
218,7.2667,3109.4476,809.2575,-73.2090,2.4343,22.2626,22.3953,3.6651,365.5776
219,7.3000,3129.8202,598.4385,-93.8527,2.5600,19.9749,20.1382,4.2099,229.6323
220,7.3333,3142.6501,386.5052,-89.1168,2.9866,17.6687,17.9194,3.4471,78.4314
221,7.3667,3153.9137,226.2774,-65.6611,2.4864,12.2643,12.5138,2.9598,23.0816
222,7.4000,3157.8881,153.9750,-33.5157,1.4756,4.2209,4.4714,8.1103,29.2860
223,7.4333,3162.1883,145.0110,-5.8551,1.0875,-2.2948,2.5395,7.2879,23.3414
224,7.4667,3167.5869,153.1497,10.5350,1.7037,-0.7051,1.8438,4.9549,17.7007
225,7.5000,3173.3101,184.3223,16.4189,1.7744,-0.4164,1.8226,2.3482,12.1508
226,7.5333,3180.2015,222.8524,16.7893,1.5392,-5.4888,5.7006,8.1489,61.6395
227,7.5667,3189.3836,247.2798,17.2212,0.8447,-10.2499,10.2846,8.3637,77.8934
228,7.6000,3196.2873,272.8858,18.9947,0.3162,-9.8916,9.8966,4.3154,48.9447
229,7.6333,3207.7050,308.6841,22.4551,-0.2603,-8.9001,8.9040,4.3165,62.6452
230,7.6667,3216.8678,352.4981,26.6644,-0.2598,-9.1862,9.1899,3.0716,58.1299
231,7.7000,3229.8315,408.8576,24.6790,-0.2184,-8.1591,8.1620,2.8305,72.0668
232,7.7333,3243.2812,460.3884,13.4544,-0.1579,-9.2757,9.2770,2.7894,90.0494
233,7.7667,3261.3138,498.6943,-2.2578,0.1208,-9.0392,9.0400,3.4519,130.7537
234,7.8000,3276.7593,481.5016,-16.0843,0.3758,-9.9689,9.9760,1.8726,66.1263
235,7.8333,3295.2833,407.2766,-19.3689,0.7231,-8.9460,8.9752,3.8138,96.3516
236,7.8667,3308.1601,353.3050,-6.2362,0.4862,-4.1357,4.1642,1.8985,36.0932
237,7.9000,3320.6333,348.5536,20.9611,-0.0905,5.4494,5.4502,2.6592,49.2050
238,7.9333,3323.2530,413.7332,51.1238,-0.0850,12.2435,12.2438,2.5900,67.5261
239,7.9667,3340.8920,561.9882,66.7036,0.5612,13.4555,13.4672,5.0106,241.0277
240,8.0000,3363.6247,727.0300,58.6946,0.9537,17.5185,17.5445,6.3036,507.4779
241,8.0333,3391.0387,844.4726,29.5102,0.5272,21.8884,21.8948,4.7367,514.4809
242,8.0667,3423.5932,863.9339,-12.3254,0.2855,24.1179,24.1196,3.8003,432.0145
243,8.1000,3454.3265,769.8454,-51.0134,0.2537,22.4808,22.4822,3.9162,353.5031
244,8.1333,3473.0270,622.4607,-74.1115,0.2607,21.8365,21.8380,4.3381,256.0049
245,8.1667,3492.9026,450.7961,-79.5603,0.5604,20.8796,20.8871,3.7962,117.4995
246,8.2000,3504.8306,304.2087,-70.4140,1.0085,22.2337,22.2566,3.9862,56.1854
247,8.2333,3511.1091,205.4667,-51.8210,0.9611,18.5245,18.5494,5.6438,36.2892
248,8.2667,3516.7297,131.5803,-27.8438,0.3693,7.7647,7.7734,7.6165,20.0845
249,8.3000,3521.0263,83.2252,-2.8791,0.1990,0.2824,0.3455,9.2019,9.7076
250,8.3333,3524.2502,91.8645,18.6804,0.5795,1.8356,1.9249,4.9126,6.3144
251,8.3667,3526.2107,157.9105,34.0179,0.7029,0.3618,0.7905,6.1392,23.3161
252,8.4000,3532.0939,252.8027,38.9035,0.5378,-7.3926,7.4121,11.4826,111.7707
253,8.4333,3538.8128,335.6172,31.9707,-0.0139,-11.6893,11.6893,9.9476,170.6601
254,8.4667,3556.4245,391.3640,18.2124,-0.4147,-10.7439,10.7519,6.4822,151.2190
255,8.5000,3573.2874,397.8922,6.4519,-0.5073,-4.8549,4.8813,4.8876,117.8552
256,8.5333,3585.2445,379.4238,3.1562,-0.1896,-2.7994,2.8058,2.5680,56.3086
257,8.5667,3594.0006,374.8612,6.7526,-0.1044,-6.3984,6.3993,3.0014,64.2376
258,8.6000,3606.3712,393.3627,9.6926,-0.0769,-9.6276,9.6279,3.3676,79.3658
259,8.6333,3616.5309,439.3463,4.2690,0.0453,-8.6284,8.6286,2.5914,76.1847
260,8.6667,3637.4640,473.3797,-8.9310,0.5799,-7.5189,7.5412,3.3785,115.3114
261,8.7000,3655.1283,450.5901,-17.7435,1.0805,-9.0424,9.1067,2.1927,67.8058
262,8.7333,3668.7700,372.2945,-10.2118,1.2097,0.4868,1.3040,1.9785,41.7670
263,8.7667,3679.9981,306.5934,16.5108,0.9837,8.7938,8.8487,4.5536,65.1944
264,8.8000,3690.0677,351.2123,53.4444,1.2460,12.5046,12.5665,2.4297,45.6472
265,8.8333,3697.3457,529.8651,81.4146,2.0639,10.4443,10.6463,4.6943,200.7350
266,8.8667,3713.5468,758.7230,81.1801,2.8234,16.3378,16.5800,4.7414,415.7149
267,8.9000,3747.2177,936.2884,45.4308,3.0481,22.5736,22.7785,4.8078,641.9382
268,8.9333,3786.7376,977.1121,-13.3155,2.8088,25.1044,25.2610,4.7883,696.3020
269,8.9667,3823.4143,866.0021,-69.5372,2.5392,21.9054,22.0521,4.2620,486.8311
270,9.0000,3848.5357,645.1074,-101.5928,2.3911,20.7728,20.9099,3.0920,195.9848
271,9.0333,3859.9661,399.0988,-102.1884,2.5700,20.7156,20.8744,4.6274,112.2593
272,9.0667,3864.7390,213.0522,-78.3521,2.5954,18.7805,18.9590,2.8835,19.9353
273,9.1000,3874.2164,116.9961,-42.8253,2.5799,10.3557,10.6722,4.0730,8.4914
274,9.1333,3878.5055,99.2308,-6.6004,2.4351,1.7098,2.9754,7.9098,11.8627
275,9.1667,3880.4782,117.9602,21.1427,2.9579,1.2466,3.2098,7.8213,16.5759
